代码,名称,交易所,乘数,保证金,报价单位
A0.DCE,豆一主力连续,大连商品交易所,10,0.05,元(人民币)/吨
AG0.SHF,沪银主力连续,上海期货交易所,15,0.04,元(人民币)/千克
AL0.SHF,沪铝主力连续,上海期货交易所,5,0.05,元(人民币)/吨
AP0.CZC,苹果主力连续,郑州商品交易所,10,0.07,元(人民币)/吨
AU0.SHF,沪金主力连续,上海期货交易所,1000,0.04,元(人民币)/克
B0.DCE,豆二主力连续,大连商品交易所,10,0.05,元(人民币)/吨
BB0.DCE,胶合板主力连续,大连商品交易所,500,0.05,元(人民币)/张
BU0.SHF,沥青主力连续,上海期货交易所,10,0.04,元(人民币)/吨
C0.DCE,玉米主力连续,大连商品交易所,10,0.05,元(人民币)/吨
CF0.CZC,郑棉主力连续,郑州商品交易所,5,0.05,元(人民币)/吨
CJ0.CZC,红枣主力连续,郑州商品交易所,5,0.07,元(人民币)/吨
CS0.DCE,玉米淀粉主力连续,大连商品交易所,10,0.05,元(人民币)/吨
CU0.SHF,沪铜主力连续,上海期货交易所,5,0.05,元(人民币)/吨
CY0.CZC,棉纱主力连续,郑州商品交易所,5,0.05,元(人民币)/吨
EG0.DCE,乙二醇主力连续,大连商品交易所,10,0.05,元(人民币)/吨
FB0.DCE,纤维板主力连续,大连商品交易所,500,0.05,元(人民币)/张
FG0.CZC,玻璃主力连续,郑州商品交易所,20,0.05,元(人民币)/吨
FU0.SHF,燃油主力连续,上海期货交易所,10,0.08,元(人民币)/吨
HC0.SHF,热卷主力连续,上海期货交易所,10,0.04,元(人民币)/吨
I0.DCE,铁矿石主力连续,大连商品交易所,100,0.05,元(人民币)/吨
IC00C1.CFE,IC当月连续,中国金融期货交易所,200,0.02,指数点
IC00C2.CFE,IC下月连续,中国金融期货交易所,200,0.02,指数点
IC00C3.CFE,IC下季连续,中国金融期货交易所,200,0.02,指数点
IC00C4.CFE,IC隔季连续,中国金融期货交易所,200,0.02,指数点
IF00C1.CFE,IF当月连续,中国金融期货交易所,300,0.08,指数点
IF00C2.CFE,IF下月连续,中国金融期货交易所,300,0.08,指数点
IF00C3.CFE,IF下季连续,中国金融期货交易所,300,0.08,指数点
IF00C4.CFE,IF隔季连续,中国金融期货交易所,300,0.08,指数点
IH00C1.CFE,IH当月连续,中国金融期货交易所,300,0.08,指数点
IH00C2.CFE,IH下月连续,中国金融期货交易所,300,0.08,指数点
IH00C3.CFE,IH下季连续,中国金融期货交易所,300,0.08,指数点
IH00C4.CFE,IH隔季连续,中国金融期货交易所,300,0.08,指数点
J0.DCE,焦炭主力连续,大连商品交易所,100,0.05,元(人民币)/吨
JD0.DCE,鸡蛋主力连续,大连商品交易所,10,0.05,元(人民币)/500千克
JM0.DCE,焦煤主力连续,大连商品交易所,60,0.05,元(人民币)/吨
JR0.CZC,粳稻主力连续,郑州商品交易所,20,0.05,元(人民币)/吨
L0.DCE,塑料主力连续,大连商品交易所,5,0.05,元(人民币)/吨
LR0.CZC,晚籼主力连续,郑州商品交易所,20,0.05,元(人民币)/吨
M0.DCE,豆粕主力连续,大连商品交易所,10,0.05,元(人民币)/吨
MA0.CZC,甲醇主力连续,郑州商品交易所,10,0.05,元(人民币)/吨
NI0.SHF,镍主力连续,上海期货交易所,1,0.05,元(人民币)/吨
NRM.INE,0,0,0,0,元(人民币)/克
OI0.CZC,菜油主力连续,郑州商品交易所,10,0.05,元(人民币)/吨
P0.DCE,棕榈主力连续,大连商品交易所,10,0.05,元(人民币)/吨
PB0.SHF,沪铅主力连续,上海期货交易所,5,0.05,元(人民币)/吨
PM0.CZC,普麦主力连续,郑州商品交易所,50,0.05,元(人民币)/吨
PP0.DCE,聚丙烯主力连续,大连商品交易所,5,0.05,元(人民币)/吨
RB0.SHF,螺纹钢主力连续,上海期货交易所,10,0.05,元(人民币)/吨
RI0.CZC,早籼主力连续,郑州商品交易所,20,0.05,元(人民币)/吨
RM0.CZC,菜粕主力连续,郑州商品交易所,10,0.05,元(人民币)/吨
RR0.DCE,粳米主力连续,大连商品交易所,10,0.05,元(人民币)/吨
RS0.CZC,菜籽主力连续,郑州商品交易所,10,0.05,元(人民币)/吨
RU0.SHF,橡胶主力连续,上海期货交易所,10,0.05,元(人民币)/吨
SCM.INE,0,0,0,0,元(人民币)/克
SF0.CZC,硅铁主力连续,郑州商品交易所,5,0.05,元(人民币)/吨
SM0.CZC,硅锰主力连续,郑州商品交易所,5,0.05,元(人民币)/吨
SN0.SHF,锡主力连续,上海期货交易所,1,0.05,元(人民币)/吨
SP0.SHF,纸浆主力连续,上海期货交易所,10,0.04,元(人民币)/吨
SR0.CZC,白糖主力连续,郑州商品交易所,10,0.05,元(人民币)/吨
TA0.CZC,PTA主力连续,郑州商品交易所,5,0.05,元(人民币)/吨
UR0.CZC,尿素主力连续,郑州商品交易所,20,0.05,元(人民币)/吨
V0.DCE,PVC主力连续,大连商品交易所,5,0.05,元(人民币)/吨
WH0.CZC,强麦主力连续,郑州商品交易所,20,0.05,元(人民币)/吨
WR0.SHF,线材主力连续,上海期货交易所,10,0.07,元(人民币)/吨
Y0.DCE,豆油主力连续,大连商品交易所,10,0.05,元(人民币)/吨
ZC0.CZC,郑煤主力连续,郑州商品交易所,100,0.05,元(人民币)/吨
ZN0.SHF,沪锌主力连续,上海期货交易所,5,0.05,元(人民币)/吨
